Level1 Job Census Hier Desc,Level1 Job Census Hier Desc,Placeholder,Age At Census Range,Ethnic Desc,Calendar Yr Mo Name Concat,Campus Level Census Cnt
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2008 Oct,132
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2009 Oct,123
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2010 Oct,128
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2011 Oct,111
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2012 Oct,131
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2013 Oct,181
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2014 Oct,201
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2015 Oct,113
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,White,2016 Oct,95
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,2 or More Races - Non-URM,2016 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2008 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2009 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2010 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2011 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2012 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2013 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2014 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2015 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,African American/Black,2016 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Asian,2015 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Asian,2016 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2008 Oct,54
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2009 Oct,64
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2010 Oct,74
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2011 Oct,62
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2012 Oct,75
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2013 Oct,100
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2014 Oct,78
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2015 Oct,60
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Chinese,2016 Oct,57
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2008 Oct,294
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2009 Oct,424
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2010 Oct,497
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2011 Oct,598
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2012 Oct,725
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2013 Oct,853
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2014 Oct,861
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2015 Oct,801
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Decline to State,2016 Oct,783
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,European,2015 Oct,42
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,European,2016 Oct,35
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2008 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2009 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2010 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2011 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2012 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2013 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2014 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2015 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Filipino,2016 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Hispanic,2015 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2008 Oct,32
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2009 Oct,31
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2010 Oct,18
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2011 Oct,24
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2012 Oct,23
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2013 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2014 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2015 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Japanese,2016 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Korean,2015 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Korean,2016 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2008 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2009 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2010 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2011 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2012 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2013 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2014 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2015 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Mexican American/Chicano,2016 Oct,19
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Middle Eastern,2015 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Middle Eastern,2016 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Native American/Alaska Native,2008 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Native American/Alaska Native,2013 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Native American/Alaska Native,2014 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Native American/Alaska Native,2016 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2008 Oct,21
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2009 Oct,17
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2010 Oct,20
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2011 Oct,22
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2012 Oct,21
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2013 Oct,25
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2014 Oct,30
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2015 Oct,20
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Asian,2016 Oct,21
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2008 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2009 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2010 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2011 Oct,12
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2012 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2013 Oct,20
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2014 Oct,24
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2015 Oct,23
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Other Hispanic/Latino,2016 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,Pacific Islander,2016 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2008 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2009 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2010 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2011 Oct,18
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2012 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2013 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2014 Oct,24
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2015 Oct,12
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,South Asian,2016 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2008 Oct,102
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2009 Oct,144
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2010 Oct,174
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2011 Oct,159
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2012 Oct,151
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2013 Oct,178
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2014 Oct,191
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2015 Oct,171
Affiliates/Non-Employees,Affiliates/Non-Employees,-,30 - 39 Years Old,White,2016 Oct,146
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2008 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2009 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2010 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2011 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2012 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2013 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2014 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2015 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,African American/Black,2016 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2008 Oct,25
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2009 Oct,26
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2010 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2011 Oct,23
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2012 Oct,38
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2013 Oct,29
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2014 Oct,37
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2015 Oct,25
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Chinese,2016 Oct,30
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2008 Oct,212
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2009 Oct,276
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2010 Oct,292
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2011 Oct,349
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2012 Oct,432
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2013 Oct,513
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2014 Oct,536
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2015 Oct,500
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Decline to State,2016 Oct,499
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,European,2015 Oct,31
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,European,2016 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Filipino,2008 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Filipino,2013 Oct,2
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Filipino,2014 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Filipino,2015 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Filipino,2016 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2008 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2009 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2010 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2011 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2012 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2013 Oct,19
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2014 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2015 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Japanese,2016 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Korean,2015 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Korean,2016 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,40 - 49 Years Old,Mexican American/Chicano,2008 Oct,1
